company_name,position,location,status,sponsorship,website
Capital One,Data Analyst Intern - Summer 2024,nan,Unknown,Unknown,https://www.capitalonecareers.com/job/mclean/data-analyst-intern-summer-2024/31238/52341406736
Capital One,Strategy Consulting Intern - Summer 2024,nan,Unknown,Unknown,https://www.capitalonecareers.com/job/mclean/strategy-consulting-intern-summer-2024/31238/52359863808
Caterpillar,2024 Summer Corporate Intern - Business Operations,nan,Unknown,Unknown,https://careers.caterpillar.com/en/jobs/job/r0000212127-2024-summer-corporate-intern-business-operations/
Deloitte*,Audit & Assurance Valuation & Analytics Intern - Winter 2024,nan,Unknown,Unknown,https://apply.deloitte.com/careers/JobDetail/Audit-Assurance-Valuation-Analytics-Intern-Winter-2024/150507
Fdasf,asd,nan,Unknown,Unknown,
General Mills,Internship - Digital & Technology - Data Science,nan,Unknown,nan,https://careers.generalmills.com/careers/jobs/24134?lang=en-us&previousLocale=en-US
JPMorgan Chase*,2024 Summer Intern: Data Scientist,nan,Unknown,nan,https://jpmc.fa.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001/job/210434682
JPMorgan Chase*,Various AI & Data Science internships,nan,Unknown,nan,https://careers.jpmorgan.com/us/en/students/programs/data-analytics-opportunities#careers-section7
KeyBank*,Summer 2024 Key's Analytics & Quantitative Modeling Internship Program,nan,Unknown,nan,https://keybank.wd5.myworkdayjobs.com/en-US/External_Career_Site/job/Summer-2024-Key-s-Analytics---Quantitative-Modeling-Internship-Program_R-20310
PepsiCo,"2024 Summer Intern: Technology â€“ Data & Analytics, Data Engineer & Data Science - Undergrad or Master",nan,Unknown,nan,https://www.pepsicojobs.com/internshipsprograms/jobs/241717?lang=en-us&previousLocale=en-US
PwC*,Financial Market Info & Data Analytics (MIDA) Intern - Summer 2024,nan,Unknown,nan,https://jobs.us.pwc.com/job/tampa/financial-market-info-and-data-analytics-mida-intern-summer-2024/932/51608740160
RSM,Business Intelligence Consulting Associate - Summer 2024,nan,Unknown,nan,https://rsm.wd1.myworkdayjobs.com/en-US/RSMCareers/job/Business-Intelligence-Consulting-Associate---Summer-2024_JR-36065?locationCountry=bc33aa3152ec42d4995f4791a106ed09
Tesla*,"Internship, Data Analytics and Test Engineer, Cell Engineering (Spring/Summer 2024)",nan,Unknown,nan,https://www.tesla.com/careers/search/job/internship-data-analytics-and-test-engineer-cell-engineering-spring-summer-2024-206607
Tesla*,"Internship, Data Analyst/Engineer, Supply Chain (Winter/Spring 2024)",nan,Unknown,nan,https://www.tesla.com/careers/search/job/data-analyst-engineer-supply-chain-optimization-internship-spring-2024-204151
U.S. Steel,Data Scientist Intern,nan,Unknown,nan,https://sjobs.brassring.com/TGnewUI/Search/home/HomeWithPreLoad?partnerid=25307&siteid=5238&PageType=JobDetails&jobid=3128375#jobDetails=3128375_5238
Vanguard,Data Scientist Advanced Development Program (August 2024),nan,Unknown,nan,https://www.vanguardjobs.com/job/18758887/data-scientist-advanced-development-program-charlotte-nc/#gtm-jobdetail-desc
Vanguard,Data Scientist Advanced Development Program Internship (May 2024),nan,Unknown,nan,https://www.vanguardjobs.com/job/18758888/data-scientist-advanced-development-program-internship-charlotte-nc/#gtm-jobdetail-desc
Walmart,2024 Summer Intern: Data Scientist,nan,Unknown,nan,https://careers.walmart.com/us/jobs/WD1452385-2024-summer-intern-data-scientist
Wells Fargo,"2024 Summer Internship, Early Careers - Quantitative Analytics (Master's)",nan,Unknown,nan,https://wd1.myworkdaysite.com/en-US/recruiting/wf/WellsFargoJobs/job/XMLNAME-2024-Quantitative-Internship-Program---Master-s_R-290496?locationCountry=bc33aa3152ec42d4995f4791a106ed09
